id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1256034,ENTIRE APARTMENT 450ft² 2LDK NEAR SHIBUYA/YOYOGI,6834839,Tokyo'S Best Stay,,Shibuya Ku,35.68092,139.69273,Private room,12335,1,134,2020-01-04,1.62,2,0
1263000,SHIBUYA 7 MINS  AMAZING HOST(for woman only),6876728,Haruko,,Setagaya Ku,35.60682,139.67629,Private room,5990,3,185,2019-12-31,2.23,1,247
1289173,"Fashionable Harajuku/Omotesando, next to Shibuya",151977,Miyuki,,Shibuya Ku,35.67058,139.71288,Entire home/apt,7830,28,49,2018-03-27,0.60,3,83
1298200,2 Bed Room + 2 Toilets + Free Pocket Wi-Fi,6606987,K & N,,Katsushika Ku,35.7385,139.85167,Entire home/apt,13049,4,339,2020-03-13,4.07,3,0
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70099,139.74012,Entire home/apt,28023,2,162,2020-03-20,2.03,2,237
1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62198,139.69987,Entire home/apt,25028,2,218,2020-04-12,2.66,1,143
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72597,139.7016,Private room,3209,3,225,2019-12-01,2.79,2,87
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.72607,139.70363,Private room,2145,3,220,2020-01-05,2.69,2,352
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.73626,139.85024,Entire home/apt,13477,4,304,2020-03-09,3.71,8,66
1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,6007,2,156,2020-02-26,1.93,13,268
1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,6007,2,130,2020-02-11,1.61,13,262
1571298,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,3969,2,168,2020-03-12,2.08,13,271
1574946,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,3969,2,141,2020-03-02,1.76,13,273
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari ,,Setagaya Ku,35.65918,139.61021,Private room,3325,2,42,2020-03-17,0.53,2,0
1600758,Enjoy a unique house in a green residential area!,8529477,Mari ,,Setagaya Ku,35.6591,139.61036,Private room,3637,2,13,2019-12-15,0.60,2,80
1642592,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.68136,139.6931,Entire home/apt,12871,3,84,2020-03-18,1.13,11,307
1732795,"Mr.T's House, 2-Bed-rooms JP-style+Portable Wi-Fi",6606987,K & N,,Katsushika Ku,35.73963,139.85372,Entire home/apt,12979,3,304,2020-03-27,3.83,3,0
1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.69279,139.70929,Private room,8581,1,245,2020-04-04,3.08,2,364
1788937,"3BD 55sqm  2MIN WALK Mitaka sta , 17MIN Shinjuku",9365325,Takayuki,,Mitaka Shi,35.70171,139.55988,Entire home/apt,14011,2,37,2020-04-25,3.58,1,91
1868030,30sec Sta.nearSUMO AKB Shinjuku AB,8660693,Soichi,,Koto Ku,35.69031,139.81424,Private room,3316,30,114,2020-04-06,1.65,9,189
1919541,share house 'Miraie' @JR Osaki,9951050,Takashi&Li,,Shinagawa Ku,35.61626,139.72338,Private room,8022,2,227,2020-03-16,2.89,1,68
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63797,139.64716,Entire home/apt,14974,2,105,2020-02-08,1.41,1,188
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,,Minato Ku,35.65628,139.72586,Entire home/apt,69522,4,169,2020-02-06,2.18,3,228
2075509,Stunning home in central Tokyo,11046932,The Dawson Family,,Minato Ku,35.65008,139.73337,Entire home/apt,80004,3,240,2020-02-24,3.14,1,0
2129583,"Blissful Retreat near Shinjuk, Koenji, Shimokita!",9203725,Memz And Taki,,Suginami Ku,35.67273,139.65974,Entire home/apt,10910,1,8,2019-10-23,0.12,4,355
2219300,*C*Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,,Suginami Ku,35.67273,139.65974,Entire home/apt,16471,1,16,2020-02-25,0.26,4,351
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67069,139.68388,Private room,26953,1,156,2020-02-08,2.10,1,271
2262879,30sec Sta. AKB Shinjuku Shibuya 206,8660693,Soichi,,Koto Ku,35.689,139.81543,Private room,3530,30,42,2020-03-02,0.76,9,90
2289698,BEST for 2ppl@Shinjuku Takadanobaba,4799233,Yu,,Shinjuku Ku,35.70803,139.69822,Entire home/apt,3969,30,73,2020-02-14,0.96,2,176
2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Private room,6007,2,82,2019-11-28,1.10,13,270
2602722,Shinjuku ShareHouse Dormitory2  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,3969,2,158,2020-01-25,2.13,13,273
2602791,Shinjuku ShareHouse Dormitory1  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70435,Shared room,3969,2,71,2020-01-01,0.96,13,273
2642449,S206 30sec Sta. AKB Shinjuku Shibuya,8660693,Soichi,,Koto Ku,35.69091,139.81427,Private room,2460,30,72,2020-01-03,1.04,9,86
2645379,Shinjuku ShareHouse Dormitory4  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,3969,2,73,2019-11-05,0.99,13,273
2645582,New Studio - 5 min to Shinjuku (1),13521173,Alba & Cupidon,,Shinjuku Ku,35.68892,139.70391,Entire home/apt,9439,2,199,2020-03-20,3.64,2,154
2661155,30sec Sta.nearSUMO AKB Shinjuku,8660693,Soichi,,Koto Ku,35.69067,139.8154,Private room,3209,30,90,2019-05-07,1.22,9,224
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,,Akishima Shi,35.70477,139.37874,Entire home/apt,3850,3,28,2019-12-18,0.41,2,83
2839061,Work desk/Central TKO/Discover local life&culture,4839990,Toshiyuki,,Bunkyo Ku,35.72175,139.76309,Private room,5470,4,75,2020-03-16,1.28,1,53
2867835,Lively town flat for family stay,9360394,Vann Amor,,Adachi Ku,35.79273,139.79121,Entire home/apt,12835,7,6,2019-05-21,0.10,4,30
2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72229,139.77859,Entire home/apt,18985,1,253,2020-03-16,3.54,2,303
2883753,Modern Tatami dining with comfy bed,9360394,Vann Amor,,Adachi Ku,35.79298,139.79201,Entire home/apt,12835,7,3,2018-11-29,0.16,4,30
2883869,Comfy Studio with Lovely balcony,9360394,Vann Amor,,Adachi Ku,35.79302,139.79263,Entire home/apt,6524,7,4,2020-01-03,0.07,4,83
3021731,Cozy room in the City,15397951,Kay,,Toshima Ku,35.72276,139.69074,Private room,5470,2,111,2020-02-29,1.61,3,295
3085134,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.65117,139.72026,Entire home/apt,25991,3,117,2020-01-26,1.64,3,0
3097514,Nakameguro: Hideaway in Cul de Sac,15751854,Ziggie,,Meguro Ku,35.6411,139.68963,Private room,5348,35,50,2018-10-03,0.71,3,0
3126831,S203 30sec Sta.nearSUMO AKB Shinjuku2,8660693,Soichi,,Sumida Ku,35.69061,139.8049,Private room,2467,30,41,2020-03-09,0.62,9,12
3177109,"Couple's Retreat, Mid-century Modern Oasis",16110809,Colleen,,Shinjuku Ku,35.68821,139.71921,Entire home/apt,10512,30,114,2020-02-09,1.67,1,212
3235958,Experience normal Japan life 1,16241464,Kaori,,Itabashi Ku,35.78077,139.63209,Entire home/apt,5455,1,85,2020-02-11,1.26,2,247
3265059,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,,Katsushika Ku,35.73937,139.85173,Private room,5455,4,319,2020-02-24,4.46,3,48
3339222,Experience normal Japan life 2,16241464,Kaori,,Itabashi Ku,35.78116,139.63145,Entire home/apt,5134,1,49,2020-03-01,0.88,2,189
3364169,"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",16973429,Hirano San,,Taito Ku,35.7223,139.80049,Entire home/apt,8022,5,125,2020-03-23,1.79,2,258
3366913,Beautiful and peaceful residence,15397951,Kay,,Shinjuku Ku,35.72147,139.69075,Private room,4505,2,100,2020-03-13,1.41,3,278
3372902,ｱｼﾞｱﾝﾐｯｸｽﾃｲｽﾄの癒される空間,17018818,Miri,,Meguro Ku,35.61668,139.66757,Entire home/apt,6845,2,132,2019-12-25,1.88,1,317
3395524,Perfect room for student,15397951,Kay,,Shinjuku Ku,35.72258,139.69075,Private room,3529,2,64,2019-11-08,1.10,3,176
3395898,Haneda 30min/La casa 1A,17133875,Shizu&Tazu&Mari,,Ota Ku,35.56545,139.6924,Entire home/apt,5041,28,54,2018-12-27,0.79,2,364
3409030,Bang For Your Buck!,17190614,Shu,,Shinjuku Ku,35.69639,139.70006,Private room,8045,7,158,2020-03-03,2.23,1,68
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,,Edogawa Ku,35.68374,139.85971,Entire home/apt,5134,2,81,2020-03-06,1.17,2,138
3514008,Seidokan .experience the rich history of Japan!,17694529,Hisao,,Arakawa Ku,35.72672,139.78201,Entire home/apt,2460,1,233,2020-03-18,3.57,9,93
3563698,"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",11583876,Ken,,Machida Shi,35.5902,139.4799,Entire home/apt,3957,5,91,2020-03-30,1.31,1,241
3572139,Modern Japanese house w/ garden,15514130,Tomo,,Toshima Ku,35.72873,139.7336,Entire home/apt,35825,3,157,2020-03-14,2.74,1,135
3585992,Haneda 30min/La casa 1B,17133875,Shizu&Tazu&Mari,,Ota Ku,35.56798,139.69322,Entire home/apt,5041,28,34,2019-01-15,0.49,2,364
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,,Edogawa Ku,35.68358,139.85985,Entire home/apt,5134,2,65,2020-03-03,1.05,2,92
3689244,"Shibuya, near Harajuku 2BR (MDS2BR)",18776800,LiveinAsia,,Shibuya Ku,35.67205,139.67877,Entire home/apt,31018,6,13,2020-03-20,0.20,19,212
3716040,Like a Tokyo Local in Equipped 34㎡,5660134,Kengo,,Setagaya Ku,35.61869,139.66025,Entire home/apt,8022,2,31,2019-12-04,0.55,1,219
3744742,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76105,139.716,Entire home/apt,5348,3,204,2020-03-01,3.03,8,359
3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,,Setagaya Ku,35.63059,139.63202,Private room,7701,1,83,2020-01-13,1.21,1,192
3793206,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70432,Private room,6007,2,209,2020-03-31,3.03,13,203
3793412,PRIVATE ROOM FAMILY OR FRIENDS 10F II,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,6007,2,71,2020-02-17,1.02,13,273
3814258,apartment hotel TASU TOCO,19611972,岩間,,Suginami Ku,35.7034,139.59892,Entire home/apt,8129,2,148,2020-04-05,2.19,3,231
3838856,SHINJUKU ★Designer Pencil House★ Whole House,4626879,Sam,,Shibuya Ku,35.68245,139.69009,Entire home/apt,13193,2,170,2020-03-10,2.49,14,281
3845889,COZY LOFT BEDROOM #106,19089769,Manami,,Suginami Ku,35.70559,139.65652,Entire home/apt,8450,3,96,2020-03-18,1.94,2,90
3846001,COZY LOFT BEDROOM #1,19089769,Manami,,Suginami Ku,35.70505,139.65675,Entire home/apt,8450,3,123,2020-03-07,1.80,2,74
3871442,Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,13049,6,36,2020-02-02,0.54,19,189
3885341,"Cozy Flat #302, local area Yet 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66441,139.65706,Entire home/apt,6952,28,58,2020-04-25,0.87,3,283
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.64974,139.72214,Entire home/apt,25991,3,130,2020-03-08,1.91,3,231
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,,Higashimurayama Shi,35.76539,139.44681,Entire home/apt,4813,3,132,2020-03-10,2.17,3,263
3925416,【Itokiyoshi】Ningyo-cho 1min walk,20336856,Ito,,Chuo Ku,35.68577,139.78368,Entire home/apt,5990,1,110,2018-06-10,1.62,1,60
3956263,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67754,139.68062,Entire home/apt,10404,3,84,2020-02-24,1.25,11,335
3972299,Shinjuku/ Yoyogi few minutes to the St. Free WiFi,151977,Miyuki,,Shibuya Ku,35.6842,139.69831,Entire home/apt,10833,28,55,2018-02-19,0.81,3,364
4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,,Shinagawa Ku,35.6005,139.73452,Private room,3850,3,127,2019-12-31,1.89,1,123
4047596,｢LICENSED｣Enjoy Central Tokyo Yamanote Life,6504053,Bryan,,Shinagawa Ku,35.62707,139.72327,Entire home/apt,11979,1,194,2020-03-21,2.85,4,226
4050925,【自主隔離】浅草駅徒歩6分･貸切戸建て･浅草寺本堂まで徒歩1分!【空港お迎え】,21004633,Yoshi,,Taito Ku,35.71648,139.79926,Entire home/apt,40008,1,474,2020-04-12,6.99,4,355
4141228,#211 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73483,139.63168,Entire home/apt,5348,3,72,2020-02-10,1.18,10,90
4158067,Modernish in old House Shimokitazawa #201,21578101,Miki,,Setagaya Ku,35.6623,139.67284,Private room,5990,2,123,2019-11-03,1.84,4,1
4222643,Decoboco hanare,21769906,Decoboco,,Koto Ku,35.68154,139.81747,Entire home/apt,8045,1,310,2020-01-26,4.58,3,0
4255574,S203 30sec Sta.nearSUMO AKB Shinjuku2032,8660693,Soichi,,Koto Ku,35.6903,139.81397,Private room,3209,30,78,2019-08-09,1.16,9,365
4312716,【中文･한글OK!】Tokyo/3min Ebisu/Near Shibuya★wifi,14351590,Manami&Mana,,Shibuya Ku,35.64588,139.7126,Entire home/apt,8581,30,181,2019-08-08,2.97,1,33
4360718,(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,19152993,Sei,,Kita Ku,35.76094,139.71652,Entire home/apt,4171,3,182,2020-03-09,2.76,8,351
4388283,Sunny room in residential area in 国分寺 1st Floor,10969488,Como,,Kokubunji Shi,35.70915,139.48057,Private room,2460,2,49,2020-01-06,0.76,3,225
4391546,2 BR walking distance to AZABU / ROPPONGI area!,22797910,Yuko,,Minato Ku,35.64828,139.73731,Entire home/apt,9519,30,51,2020-03-14,0.76,2,148
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,13477,6,27,2020-02-12,0.41,19,214
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,17006,6,22,2020-03-01,0.36,19,227
4471640,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(1)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.75653,139.47912,Private room,3744,4,13,2020-03-28,0.20,3,312
4471946,Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),23202702,Teruko,,Kita Ku,35.74576,139.75238,Entire home/apt,15017,7,96,2020-02-20,1.53,2,165
4477690,Tokyo Central Entire Japanese House,2610437,Pari,,Shinjuku Ku,35.70254,139.72399,Entire home/apt,6417,30,25,2018-04-04,0.40,1,0
4495014,(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76111,139.71576,Entire home/apt,3850,3,198,2020-01-22,3.06,8,315
4540924,"3persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,,Hino Shi,35.68484,139.39386,Entire home/apt,3423,5,35,2020-02-26,0.54,2,364
4585434,"Ikebukuro Sakura - Fully Licensed, 5th Year!",23766491,Brett And Yurie,,Toshima Ku,35.73853,139.71835,Entire home/apt,8474,4,255,2020-01-03,3.87,3,0
4606903,Reversible Destiny Lofts/for2people,23871736,Matsuda,,Mitaka Shi,35.68145,139.53738,Private room,20001,3,23,2020-01-02,0.49,2,163
4616579,Furnished Private Apt.213,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73379,139.63183,Entire home/apt,5348,3,73,2020-03-15,1.15,10,91
4639078,"Ikebukuro Asahi - Fully Licensed, 5th Year!",23766491,Brett And Yurie,,Toshima Ku,35.73885,139.71856,Entire home/apt,8474,4,219,2020-01-02,3.31,3,0
4648953,"Ikebukuro Nisshō - Fully Licensed , 5th Year!",23766491,Brett And Yurie,,Toshima Ku,35.73716,139.71987,Entire home/apt,8474,4,228,2019-12-03,3.46,3,0
4673248,Reversible Destiny Lofts/for4people,23871736,Matsuda,,Mitaka Shi,35.68152,139.53841,Entire home/apt,22033,3,35,2020-01-03,0.56,2,163
4690684,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(2)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.75768,139.48068,Shared room,4064,4,3,2018-08-23,0.05,3,317
4691157,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(3)",22643572,Sachiko&Kurara,,Higashimurayama Shi,35.7566,139.48128,Private room,3530,4,18,2020-02-28,0.83,3,0
4709339,Room in Central Tokyo!!!!,24339628,Taichiro,,Shinagawa Ku,35.59725,139.72744,Private room,8022,1,49,2020-01-08,0.76,4,126
4713042,comfortable  stay (Blue  Sky ) + pocket wifi:),24230913,Yuni,,Arakawa Ku,35.72825,139.77863,Entire home/apt,9519,3,297,2020-04-12,4.57,8,180
4714750,Sweet home (5 to 6person :) *☻*+ pocket wifi,24230913,Yuni,,Arakawa Ku,35.72848,139.77692,Entire home/apt,9519,3,62,2020-03-12,1.00,8,363
4750169,4persons! Shinjuku30min Tokyo45min!,23416902,Naga,,Hino Shi,35.68441,139.39461,Entire home/apt,3423,5,44,2020-01-17,0.72,2,356
4813245,*NEW*TOKYO HOUSE group&family upto7 & carpark WIFI,9782688,Kevin,,Toshima Ku,35.73055,139.68657,Entire home/apt,16044,3,141,2020-01-24,2.23,5,319
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,,Taito Ku,35.72779,139.78991,Entire home/apt,9947,2,265,2020-03-06,4.20,2,100
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Mao,,Shibuya Ku,35.67719,139.67917,Entire home/apt,49984,1,219,2020-04-27,3.38,2,70
4827373,calm room-A Shinjuku.3min train,24026566,Kazu,,Nakano Ku,35.69138,139.67812,Private room,7508,1,196,2020-02-19,3.04,3,363
4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,,Bunkyo Ku,35.72848,139.76328,Entire home/apt,5470,1,183,2020-03-04,2.81,6,348
4849854,Cozy resort villa TAKAOSAN 高尾山,22134668,Yuki,,Hachioji Shi,35.63714,139.28565,Entire home/apt,11979,2,121,2020-02-13,1.86,1,0
4856225,Log-Cabin feel apartment in Tokyo!,23678809,Jason,,Itabashi Ku,35.74281,139.68821,Entire home/apt,13049,1,30,2020-01-04,0.46,1,365
4881595,Roppongi area(2~3bed) Narita 85 min.Haneda 30 min,32575084,Shie,,Minato Ku,35.64714,139.73633,Private room,5776,30,7,2019-05-06,0.13,4,365
4888140,(1) 5ppl 2bank beds 11mins Shinjuku. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76117,139.71597,Entire home/apt,4385,3,187,2020-02-16,2.96,8,348
4909611,J's APT 2 Bed Rooms + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.73796,139.85163,Entire home/apt,13049,5,283,2020-03-07,4.40,8,52
4917347,Cedar APT  +  Free Pocket Wi-Fi,7740848,K Family,,Katsushika Ku,35.73601,139.85142,Entire home/apt,11979,4,267,2020-02-16,4.17,8,57
4925503,SHIBUYA SHINJUKU  Hatagaya Station 5 minutes#103,25370510,Mitsuko,,Shibuya Ku,35.68078,139.67729,Entire home/apt,6543,1,152,2020-01-12,3.10,6,200
4925745,New House 100㎡ near metro happy!!!!,23595333,Keiko,,Taito Ku,35.72907,139.79184,Entire home/apt,16044,2,248,2020-03-25,4.21,2,339
4926317,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 観光ｼｮｯﾋﾟﾝｸﾞに便利!,25370510,Mitsuko,,Shibuya Ku,35.68127,139.67698,Entire home/apt,4505,1,262,2020-01-05,4.09,6,257
4926426,SHIBUYA SHINJUKU 5 minutes walk from  Station,25370510,Mitsuko,,Shibuya Ku,35.67969,139.67656,Entire home/apt,5990,1,224,2019-12-26,3.68,6,1
4951604,Traditional Zen Penthouse in Harajuku,25523994,Miwako,,Shibuya Ku,35.66978,139.71101,Entire home/apt,25743,3,107,2020-04-07,1.73,1,363
4958750,Convenient charming house,20993205,Seiichi & Keiko,,Edogawa Ku,35.73821,139.88578,Private room,5027,3,100,2020-02-26,1.62,1,91
5002606,Roppongi area.Narita 85 .Haneda 30 min,32575084,Shie,,Minato Ku,35.64714,139.7363,Private room,4827,30,5,2018-08-26,0.09,4,365
5050608,Newly Built condo ! FREE breakfast & cafe,1258947,Koichi (Ken),,Taito Ku,35.71714,139.79051,Entire home/apt,8045,3,49,2019-11-30,0.81,3,14
5063885,日本伝統建築 pure japanese home in Tokyo,26144465,Zozo,,Koto Ku,35.6991,139.8321,Private room,12407,1,4,2015-05-25,0.06,1,0
5070495,Private Cozy Apt. 111 in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73468,139.63121,Entire home/apt,5348,3,71,2019-11-25,1.12,10,90
5075815,CraftFlat Ebisu: 8F 1 br Penthouse,25729330,Kiki,,Shibuya Ku,35.6502,139.70746,Entire home/apt,18985,30,72,2020-01-27,1.17,1,262
5080877,Decoboco( Artist's Studio  the second floor),21769906,Decoboco,,Koto Ku,35.68162,139.81859,Entire home/apt,9947,1,234,2020-02-27,3.68,3,3
5092486,Newly Built condo ! FREE breakfast & cafe,1258947,Koichi (Ken),,Taito Ku,35.71743,139.79081,Private room,10190,8,35,2018-11-18,0.58,3,0
5111244,Good access to Shinjuku & Nakano,26407522,Yoko,,Nakano Ku,35.72112,139.66641,Private room,3218,3,152,2020-03-22,2.52,5,0
5128066,家族でのご利用にお得なおしゃれな一軒家､まるまるﾌﾟﾗﾝ｡,26509472,里枝,,Hino Shi,35.66475,139.42034,Private room,20001,1,3,2019-08-22,0.17,2,179
5128293,Shinjuku ShareHouse Dormitory3  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,3969,2,135,2020-02-26,2.12,13,273
5188591,calm room-B Shinjuku.3min train,24026566,Kazu,,Nakano Ku,35.69087,139.67796,Private room,3861,1,195,2020-01-04,3.10,3,364
5198467,Wonderful Japanese style YANAKA (*´ω`),25911199,Aya,,Bunkyo Ku,35.72177,139.76196,Entire home/apt,25991,1,34,2020-04-01,0.54,2,173
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,34868,2,212,2020-02-11,3.43,2,0
5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73546,139.63173,Entire home/apt,5883,3,86,2020-03-23,1.36,10,90
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,33680,2,178,2020-04-11,2.88,2,74
5255533,Hiroo 103 - Family 2 bedroom - Quiet Neighborhood,15330352,Lauren & Tats,,Minato Ku,35.64853,139.7284,Entire home/apt,28023,2,118,2020-02-17,2.38,2,168
5262640,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73379,139.63314,Entire home/apt,5348,3,52,2020-02-28,0.84,10,90
5262658,Private Cozy Apt in Tokyo 311,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73524,139.63172,Entire home/apt,5883,3,117,2020-03-10,1.85,10,90
5273171,ROOM IN CENTRAL TOKYO!!!,24339628,Taichiro,,Shinagawa Ku,35.59691,139.72933,Private room,5027,1,216,2020-03-12,3.45,4,147
5281318,"Private room, Kichijoji 7min, purified water/WIFI",27342221,Isa,,Musashino Shi,35.70646,139.58289,Private room,4064,1,14,2020-02-23,0.30,2,91
